frame,timestamp_us,lat,lon
1,1629208419799620,40.41337517788894,-79.94843751216844
3,1629208419999797,40.41337785096988,-79.9484237494875
5,1629208420199972,40.413380453156726,-79.94841006725949
7,1629208420400150,40.4133830514451,-79.94839642081381
9,1629208420600330,40.413385600617296,-79.94838290890996
11,1629208420800507,40.41338813932573,-79.94836968010303
13,1629208421000686,40.413390674287676,-79.94835668404016
15,1629208421200816,40.413393171230936,-79.94834399348896
17,1629208421400810,40.41339559498752,-79.94833178599286
19,1629208421600708,40.41339794828904,-79.94832008374199
21,1629208421800576,40.41340022423169,-79.94830901288098
23,1629208422000425,40.41340243220512,-79.94829856461789
25,1629208422200280,40.41340454290867,-79.9482887273198
27,1629208422400134,40.41340660204473,-79.94827948658964
29,1629208422599994,40.41340856924767,-79.94827079747813
31,1629208422799843,40.41341043711562,-79.94826258078162
33,1629208422999694,40.41341218481137,-79.94825479600298
35,1629208423199582,40.413413811601494,-79.94824745704763
37,1629208423399568,40.41341531134533,-79.94824058153819
39,1629208423599665,40.413416651788616,-79.94823416703709
41,1629208423799796,40.41341786727503,-79.94822826180553
43,1629208423999910,40.4134189197839,-79.94822286326588
45,1629208424200008,40.41341987290057,-79.94821802989289
47,1629208424400107,40.4134206941089,-79.9482138520435
49,1629208424600204,40.413421421101226,-79.9482102760263
51,1629208424800288,40.41342203765904,-79.94820727024144
53,1629208425000355,40.41342256265931,-79.94820484670126
55,1629208425200397,40.41342298396002,-79.94820290075971
57,1629208425400376,40.41342333000439,-79.9482014341845
59,1629208425600273,40.413423585512845,-79.9482004130006
61,1629208425800162,40.4134237653751,-79.9481997797018
63,1629208426000055,40.41342389609401,-79.94819940771357
65,1629208426199982,40.41342397845363,-79.94819928613646
67,1629208426399893,40.41342400541438,-79.94819938624623
69,1629208426599792,40.413423980558505,-79.94819957629274
71,1629208426799706,40.41342395514536,-79.94819973882498
73,1629208426999625,40.41342396927949,-79.9481997851779
75,1629208427199562,40.413423953945774,-79.9481998138061
77,1629208427399550,40.413423945713326,-79.94819980288717
79,1629208427599646,40.41342395289303,-79.94819973732491
81,1629208427799809,40.41342398896037,-79.94819942332086
83,1629208427999975,40.4134241188678,-79.94819860536583
85,1629208428200098,40.41342439292154,-79.9481970869798
87,1629208428400201,40.41342483847775,-79.94819478673148
89,1629208428600276,40.413425430611305,-79.94819171790978
91,1629208428800347,40.41342615016759,-79.94818791659897
93,1629208429000393,40.41342699489585,-79.94818335716931
95,1629208429200405,40.4134279655014,-79.94817819242854
97,1629208429400328,40.41342910039885,-79.94817240066801
99,1629208429600198,40.41343040805439,-79.94816605869673
101,1629208429800064,40.41343196767374,-79.94815929129867
103,1629208429999973,40.413433854689785,-79.94815213077747
105,1629208430199900,40.41343610225039,-79.948144674009
107,1629208430399831,40.413438789037144,-79.9481370099669
109,1629208430599789,40.41344193014762,-79.94812928851793
111,1629208430799757,40.41344561327214,-79.94812137264722
113,1629208430999720,40.413449819429985,-79.94811349160688
115,1629208431199686,40.41345469533792,-79.94810558940803
117,1629208431399653,40.41346020361585,-79.94809789830134
119,1629208431599671,40.41346646052461,-79.94809046165524
121,1629208431799735,40.41347343132415,-79.94808339951709
123,1629208431999808,40.413481078098016,-79.94807680536776
125,1629208432199894,40.413489506126034,-79.94807082725774
127,1629208432399995,40.41349865742614,-79.94806562139598
129,1629208432600111,40.41350839057743,-79.94806129051713
131,1629208432800281,40.413518790711585,-79.94805774191248
133,1629208433000421,40.41352963672378,-79.94805506964413
135,1629208433200505,40.413540904809196,-79.9480533189597
137,1629208433400500,40.41355260548259,-79.94805244928268
139,1629208433600422,40.41356481542739,-79.94805247769203
141,1629208433800293,40.41357744294607,-79.94805330952639
143,1629208434000197,40.41359059713434,-79.94805489673867
145,1629208434200060,40.413603972308394,-79.94805704401605
147,1629208434399914,40.41361741135896,-79.94805960151392
149,1629208434599743,40.41363104598344,-79.94806249313254
151,1629208434799547,40.41364488015397,-79.94806566467554
153,1629208434999325,40.41365883014911,-79.94806911511647
155,1629208435199123,40.41367296820549,-79.94807273841946
157,1629208435399054,40.41368725309446,-79.94807658422887
159,1629208435599114,40.41370159469031,-79.94808057446485
161,1629208435799251,40.41371624504289,-79.94808478627401
163,1629208435999409,40.41373085570371,-79.9480890709502
165,1629208436199560,40.413745675310274,-79.94809354053793
167,1629208436399710,40.41376055577876,-79.9480981148716
169,1629208436599836,40.41377554020153,-79.94810270652498
171,1629208436799973,40.41379056909291,-79.94810741031863
173,1629208437000107,40.41380563375188,-79.9481123464057
175,1629208437200230,40.413820570209346,-79.94811755318179
177,1629208437400235,40.41383537136217,-79.9481231035647
179,1629208437600143,40.41385010242082,-79.9481289878457
181,1629208437800008,40.413864758469586,-79.94813527116877
183,1629208437999912,40.41387918866599,-79.94814188184837
185,1629208438199848,40.413893572692146,-79.94814871299549
187,1629208438399755,40.41390796177832,-79.94815563302895
189,1629208438599651,40.41392239305507,-79.9481625826889
191,1629208438799557,40.413936860453354,-79.9481694042517
193,1629208438999433,40.413951430526346,-79.94817604396074
195,1629208439199333,40.41396605149409,-79.94818243490903
197,1629208439399327,40.41398080057462,-79.94818860615251
199,1629208439599414,40.413995692847955,-79.94819460107809
201,1629208439799558,40.41401055371149,-79.94820027396383
203,1629208439999741,40.414025498194164,-79.94820581471541
205,1629208440199891,40.41404068064501,-79.94821119583881
207,1629208440400006,40.41405576035938,-79.94821630180446
209,1629208440600093,40.41407098750005,-79.94822137318103
211,1629208440800184,40.41408626508298,-79.94822646350121
213,1629208441000295,40.414101659095216,-79.94823146751861
215,1629208441200402,40.414117157008796,-79.9482363771231
217,1629208441400411,40.41413268600463,-79.94824119278405
219,1629208441600330,40.41414829907527,-79.94824604018669
221,1629208441800205,40.41416399570676,-79.948250969542
223,1629208442000091,40.41417972336829,-79.94825586832124
225,1629208442199963,40.41419552346767,-79.94826075205513
227,1629208442399819,40.414211339624075,-79.94826559249354
229,1629208442599682,40.41422727567554,-79.94827038152361
231,1629208442799545,40.41424326229288,-79.9482751372275
233,1629208442999411,40.414259288553644,-79.94827982277991
235,1629208443199299,40.41427539270708,-79.948284339344
237,1629208443399301,40.414291510746146,-79.94828869275341
239,1629208443599400,40.41430776699814,-79.94829301568066
241,1629208443799581,40.414324011887025,-79.94829725957469
243,1629208443999776,40.414340318447614,-79.94830147016488
245,1629208444199939,40.41435661829181,-79.94830557028328
